Tweets Ago,compound,date,neg,neu,pos,time,user
82,0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 21:10:07 +0000 2018,@CNN
83,0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 20:56:44 +0000 2018,@CNN
84,0.4404,2018-03-02,0.0,0.775,0.225,Fri Mar 02 20:50:11 +0000 2018,@CNN
85,-0.7184,2018-03-02,0.231,0.769,0.0,Fri Mar 02 20:37:34 +0000 2018,@CNN
86,-0.34,2018-03-02,0.156,0.844,0.0,Fri Mar 02 20:24:25 +0000 2018,@CNN
87,-0.5423,2018-03-02,0.218,0.691,0.091,Fri Mar 02 20:12:14 +0000 2018,@CNN
88,-0.34,2018-03-02,0.13,0.87,0.0,Fri Mar 02 19:59:32 +0000 2018,@CNN
89,-0.875,2018-03-02,0.435,0.565,0.0,Fri Mar 02 19:47:21 +0000 2018,@CNN
90,-0.5106,2018-03-02,0.163,0.837,0.0,Fri Mar 02 19:34:25 +0000 2018,@CNN
91,0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 19:10:09 +0000 2018,@CNN
92,0.3832,2018-03-02,0.134,0.645,0.221,Fri Mar 02 19:01:05 +0000 2018,@CNN
93,-0.6597,2018-03-02,0.293,0.707,0.0,Fri Mar 02 18:50:13 +0000 2018,@CNN
94,0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 18:41:10 +0000 2018,@CNN
95,-0.4767,2018-03-02,0.181,0.819,0.0,Fri Mar 02 18:27:36 +0000 2018,@CNN
96,0.4585,2018-03-02,0.0,0.857,0.143,Fri Mar 02 18:14:29 +0000 2018,@CNN
97,-0.25,2018-03-02,0.111,0.889,0.0,Fri Mar 02 18:10:07 +0000 2018,@CNN
98,0.4019,2018-03-02,0.0,0.886,0.114,Fri Mar 02 18:00:13 +0000 2018,@CNN
99,0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 17:50:10 +0000 2018,@CNN
100,-0.5994,2018-03-02,0.245,0.755,0.0,Fri Mar 02 17:40:08 +0000 2018,@CNN
1,-0.3612,2018-03-03,0.252,0.611,0.137,Sat Mar 03 22:04:37 +0000 2018,@FoxNews
2,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 21:57:25 +0000 2018,@FoxNews
3,-0.4404,2018-03-03,0.182,0.818,0.0,Sat Mar 03 21:54:57 +0000 2018,@FoxNews
4,0.5707,2018-03-03,0.0,0.83,0.17,Sat Mar 03 21:48:00 +0000 2018,@FoxNews
5,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 21:39:00 +0000 2018,@FoxNews
